Fecha,Ciudad,Sucursal,Categoría,Índice_Laspeyres,Precio_Promedio_Pond,Inflación_Mensual_Acum,Inflación_Diaria
2026-06-23,La Paz,Calacoto,Bebidas,100.0,32.3,0.0,0.0
2026-06-23,La Paz,Calacoto,Frutas y Verduras,99.4909,58.62,-0.5091000000000037,0.0
2026-06-23,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-06-24,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-06-24,La Paz,Calacoto,Abarrotes,84.6382,46.32,-15.361800000000002,0.0015406825389312484
2026-06-24,La Paz,Calacoto,Bebidas,100.0,32.3,0.0,0.0
2026-06-24,La Paz,Calacoto,Frutas y Verduras,99.4909,58.62,-0.5091000000000037,0.0
2026-06-25,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-06-25,La Paz,Calacoto,Abarrotes,84.8328,40.68,-15.167199999999994,0.0022991982343671946
2026-06-25,La Paz,Calacoto,Bebidas,100.0,32.3,0.0,0.0
2026-06-25,La Paz,Calacoto,Frutas y Verduras,99.4909,58.62,-0.5091000000000037,0.0
2026-06-25,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-06-26,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-06-26,La Paz,Calacoto,Abarrotes,88.2357,26.02,-11.764300000000006,0.04011302232155467
2026-06-26,La Paz,Calacoto,Bebidas,100.0,32.3,0.0,0.0
2026-06-26,La Paz,Calacoto,Frutas y Verduras,99.4909,58.62,-0.5091000000000037,0.0
2026-06-26,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-06-27,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-06-27,La Paz,Calacoto,Abarrotes,88.2357,26.02,-11.764300000000006,0.0
2026-06-27,La Paz,Calacoto,Bebidas,100.0,32.3,0.0,0.0
2026-06-27,La Paz,Calacoto,Frutas y Verduras,99.4909,58.62,-0.5091000000000037,0.0
2026-06-27,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-06-28,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-06-28,La Paz,Calacoto,Abarrotes,88.2357,26.02,-11.764300000000006,0.0
2026-06-28,La Paz,Calacoto,Bebidas,100.0,32.3,0.0,0.0
2026-06-28,La Paz,Calacoto,Frutas y Verduras,99.4909,58.62,-0.5091000000000037,0.0
2026-06-28,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-06-29,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-06-29,La Paz,Calacoto,Abarrotes,88.2357,26.02,-11.764300000000006,0.0
2026-06-29,La Paz,Calacoto,Bebidas,100.0,32.3,0.0,0.0
2026-06-29,La Paz,Calacoto,Frutas y Verduras,99.4734,61.5,-0.526600000000002,-0.00017589548390861687
2026-06-29,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-07-01,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-01,La Paz,Calacoto,Abarrotes,88.0757,26.1,-11.924300000000002,-0.0018133249920383454
2026-07-01,La Paz,Calacoto,Bebidas,100.0,32.3,0.0,0.0
2026-07-01,La Paz,Calacoto,Frutas y Verduras,99.669,56.97,-0.33100000000000307,0.0019663548245059115
2026-07-01,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-07-02,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-02,La Paz,Calacoto,Abarrotes,88.0757,26.1,-11.924300000000002,0.0
2026-07-02,La Paz,Calacoto,Bebidas,100.0,32.3,0.0,0.0
2026-07-02,La Paz,Calacoto,Frutas y Verduras,99.4825,59.81,-0.5174999999999983,-0.0018711936509847593
2026-07-02,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-07-04,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-04,La Paz,Calacoto,Abarrotes,87.0095,24.59,-12.990499999999997,-0.012105495613432438
2026-07-04,La Paz,Calacoto,Bebidas,100.0,32.3,0.0,0.0
2026-07-04,La Paz,Calacoto,Frutas y Verduras,99.4825,59.81,-0.5174999999999983,0.0
2026-07-04,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-07-05,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-05,La Paz,Calacoto,Abarrotes,87.9558,27.62,-12.044200000000004,0.01087582390428632
2026-07-05,La Paz,Calacoto,Bebidas,100.0,24.9,0.0,0.0
2026-07-05,La Paz,Calacoto,Frutas y Verduras,95.5369,57.44,-4.463099999999997,-0.03966124695298168
2026-07-05,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-07-06,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-07-06,La Paz,Calacoto,Abarrotes,100.0,19.48,0.0,0.13693468764993333
